bridge spider	# a large  often found on bridges and near water ().
beave	# en The pubic hair and/or vulva of a woman.
brilliance	# The quality of being exceptionally effulgent (giving off light).# The quality of having extraordinary mental capacity.# en magnificence|Magnificence; resplendence.
brilliancy	# A shining quality; brilliance.# An act of being brilliant.#: # en A spectacular and beautiful game of chess, generally featuring sacrificial attacks and unexpected moves.
bad orb	# A person who tries to spoil others’ fun; a en.
biliuria	# en The presence of bile acids or bile salts in the urine.
baculitid	# en Any member of the Baculitidae.
broiler chicken	# A chicken, bred in a broilerhouse, specifically for meat production
bump up	# en To increase something suddenly.# en To promote a person to a higher grade.# en To give a more prominent place to; to advance position in queue.
bumbershoot	# en An umbrella, especially when seen as a stereotypically English accessory#: ''It smells like rain. Perhaps we should take along a '''bumbershoot'''.''
behated	# en hated|Hated.
businessfolk	# businesspeople|passage=His co-committee member, Alex Mahon, is a former chief executive of Elisabeth Murdoch’s Shine Group, connecting her to the exciting world of government-friendly media '''businessfolk''', Cotswold kitchen-supper snafflers, and police horse-sharers, and to those most likely to monetise the vacant space left in broadcasting should she and her colleagues have, regrettably, to reform the BBC out of existence.}}
belly button ring	File:Navel piercing.jpg|thumb|women with belly button rings# A form of body art wherein a piercing is placed in a cauterized puncture of the umbilicus.#: ''I think '''belly button rings''' only look good on women's navels, not men's.''
bioluminescent	# en Exhibiting bioluminescence.
breakbeat	# en A form of syncopated rhythm prominent in much African music.# en A genre of electronic dance music based on such syncopated rhythms.
bambocciante	# en Any of a group of Dutch painters, from the seventeenth century, who painted scenes from ordinary life; used attributively to describe the style of their paintings
briefer	# One who provides a briefing.|passage=The '''briefers''' tried to prove the White House’s case that Iran is shipping deadly weapons, including armor-piercing explosives, to Shiite militias in Iraq.}}
braze	# A kind of small charcoal used for roasting ore.
borzoi	# A dog of a particular breed, similar in shape to a greyhound but with longer silkier hair.
brachiovaginal	# en Of or pertaining to a sexual practice (brachiovaginal insertion) wherein a hand or arm is inserted into a vagina.
breast-fed	# That has been suckled at its mother's breast
Bengal tiger	# A tiger of the subspecies ''Panthera tigris tigris'' found in various parts of the Indian subcontinent.# en A heraldic representation of this animal used as a charge or as a supporter; as in the arms of Malaysia and Singapore.
briefen	# en To make or become brief
bureaugamy	# marriage (literal or metaphorical) to a bureaucracy
beauty factory	# en A collider-based scientific machine designed to produce a large number (at least 10<sup>9</sup>) of B mesons.
boo-boo	# en To defecate.
blocking bet	# en A small bet intended to discourage other players to place larger bets.
bald-faced hornet	# A species of North American yellowjacket distinguished by its black and white coloration with white marks on the face and by its hornet-like aerial nests, .Category:en:Vespids
biofunction	# en biological function
block letter	 # A capital letter written by hand.
benzoxaborole	# en Any bicyclic organic heterocycle having a structure in which the nitrogen of a benzoxazole has been replaced by boron|passage=In a recent study, '''benzoxaborole''' analog, a boron-containing compound, has been reported to affect (inhibit) the TLR-mediated response, supporting our speculation concerning the involvement of TLR pathway in manifestation of the effect of boron 35 ].}}
bladder fern	# Any of the genus  of ferns in the family .
bemuse	# en To confuse or bewilder.# en To devote to the Muses.
bunkum	# en Senseless talk; nonsense; a piece of nonsense (''countable'').# en Bombastic political posturing or oratorical display designed only for show or public applause. 
boyloving	# paedophilic|Paedophilic or hebephilic love towards boys.
book-teaching	# Teaching from textbooks, rather than by hands-on experience.
brassidic acid	# en The fatty acid ''trans docos-13-enoic acid'' that is the trans- isomer of erucic acid
banksman	# en The person who directs the operation of a crane or larger vehicle from the point near where loads are attached and detached.
bargain away	# To dispose of in a bargain, usually with a sense of loss or disadvantage.#: ''to '''bargain away''' one's birthright''Category:English phrasal verbsCategory:English phrasal verbs with particle (away)
Bacharachian	# Of or relating to  (born 1928), American pianist, composer and music producer.Category:English eponyms
baggable	# Capable of being packed into bags.|passage=Another major innovation in the past decade was the development of infrastructure for turning food wastes &mdash; a major part of the waste stream in a city with thousands of restaurants &mdash; into '''baggable''' compost that is used in California’s vineyards and the vast farms of the Central Valley.}}
boundarylessness	# Lack of boundary|boundaries.
boneen	# en A piglet
butterfly ray	# A ray  of the family  (or, in some systems, the subfamily ).
brassy	# Resembling brass.#: ''The cup had a '''brassy''' color.''# en impudent|Impudent; impudently bold.#: ''Don't get '''brassy''' with me, young lady!''# Unfeeling; pitiless.# Harsh in tone.#: ''an organ stop with a '''brassy''' tone''
Bahá'í	# pertaining to Bahá'ís or beliefs held in the Bahá'í Faith
bosporus	# A strait or narrow sea between two seas, or a lake and a sea.
basmati	# A variety of long-grain rice, notable for its fragrance.|passage=Diwaniya is the capital of the almost completely Shiite farming province of Qadisiya, known for its marshy fields where farmers grow aromatic ambar rice, similar to India’s '''basmati'''.}}
be called	# To have a specific name.
bifid	# cleft|Cleft; divided into two lobes.
bimillenary	# A two-thousandth anniversary
brasse	# A spotted European freshwater fish ''Sander lucioperca'', resembling a perch.
brown stew	# en A stew in which the meat is browned before being added# en A stew cooked or served with a brown-coloured sauce
boysy	# en Characteristic of stereotypical boys.
Bratislavan	# Someone from Bratislava.
bailiff-errant	# en An official employed by the sheriff to carry out summonses, writs etc. within the county.
bushing	# en A type of bearing, a cylindrical lining designed to reduce friction and wear inside a hole, often used as a casing for a shaft, pin or hinge.# en An elastic bearing used as a type of vibration isolator, commonly made of rubber. An interface between two parts, damping the movement and the energy transmitted.# en A threaded bushing, is a fastener element that is inserted into an object, usually to add a threaded hole in a softer or thin material.# en A lining for an opening through which a conductor passes, providing insulation and mechanical protection for the conductor.# An adapter for joining pipes of different size.
benzal	# en A transparent crystalline substance, C<sub>6</sub>H<sub>5</sub>.CO. NH<sub>2</sub>, obtained by the action of ammonia on benzoyl chloride and by several other reactions with benzoyl compounds.
brown bear	# A species of bears native to northern America, Europe and Asia having brownish fur. (''Ursus arctos'')
blepharoplastic	# relating to blepharoplasty
bozo eruption	# en A remark—usually unscripted—by a politician or other public figure which is especially ill-considered and foolish, and which has negative repercussions for that individual and for his or her affiliated group.
blebby	# Of or pertaining to blebs or bubbles
birdcall	# en en
bran tub	# A tub filled with bran in which small gifts are buried as a lucky dip
bleachability	# The condition of being bleachable
backrest	# The back piece of a chair, used to support the sitter's back.# A guide attached to the slide rest of a lathe, and placed in contact with the work to steady it in turning.
brush past	# en To go by (someone or something) quickly, making slight contact.Category:English phrasal verbsCategory:English phrasal verbs with particle (past)
bottled	# Packaged in a bottle.#: ''bottled water''# en drunk# Shaped or protuberant like a bottle.# Kept in restraint; bottled up.
butterfly milkweed	# ''Asclepias tuberosa'', native to most of North America, except for the northwest.
bitruncation	# en An operation on a regular polytope in which every edge is lost and every face is reduced in size
bovine viral diarrhea	# Any of various diseases caused by a bovine viral diarrhea virus.
broad-mouthed	# Having a broad mouth.# en outspoken|Outspoken; rude.Category:English parasynthetic adjectives
boatmaker	# A manufacturer of boats.
bedlamp	# A bedside lamp.
beaching	# An event in which a marine animal beaches itself.|passage=Before the '''beachings''', he notes, his team had spotted about 50 of the unusual Cuvier's beaked whales in the study area.}}
bara brith	# A Welsh yeast bread enriched with dried fruit.# A Welsh fruitcake made with self-raising flour but no yeast.
Bentleyan	# Of or relating to  (1870–1957), American political scientist and philosopher who worked in the fields of epistemology, logic, and linguistics.Category:English eponyms
bradyphemia	# en abnormally slow speechCategory:English words prefixed with brady-
biofluorescently	# In a biofluorescent manner.
bed down	# en To lie down to sleep for the night, usually of livestock or machinery.# en To put an animal to rest for the night.Category:English phrasal verbsCategory:English phrasal verbs with particle (down)
belowground	# beneath the surface of the ground; undergroundCategory:English locatives
bisnafide	# An antineoplastic drug.Category:en:Drugs
Bourignianism	# Bourignian beliefs generally.Category:English eponyms
bayanist	# A person who plays the bayan.
balletic	# Pertaining to or suitable for ballet.
bootability	# en The state or condition of being bootable.
bibliopegic	# Of or pertaining to bookbinding.
bibliopegia	# en bibliopegy
bespit	# en To spit upon; soil with spittle.
bespin	# en To spin around or about, so as to cover; spin all over.
black rot	# A disease of grapevines, attacking the leaves and fruit, caused by the fungus ''Laestadia bidwellii''.
butyrellite	# bog butter
beadboard	# Wooden boards with a bead or ridge running their length used for paneling walls or ceilings.|passage=The aesthetic of the house is prim and country, with white '''beadboard''' knee walls around the first floor and pale flowered wallpaper in the Shaker-style kitchen.}}
bawdily	# In a bawdy manner; lewdly or obscenely with humorous intent.
black information	# en data showing that somebody is uncreditworthy
banshee	# en A female spirit, usually taking the form of a woman whose mournful wailing warns of an impending death.# en A noisy or ill-tempered woman.
batillariid	# en Any member of the Batillariidae.Category:en:Gastropods
Bissell truck	# A single-axled bogie that pivots towards the centre of a steam locomotive to enable it to negotiate curves more easily.
bikitaite	# en A triclinic-pedial mineral containing aluminum, hydrogen, lithium, oxygen, and silicon.
back and fill	# en To manage the sails of a ship so that the wind strikes them alternately in front and behind, in order to keep the ship in the middle of a river or channel while the current or tide carries the vessel against the wind.# en To take opposite positions alternately; to assert and deny.
blobular	# blob-shaped
Boucherize	# en To impregnate (timber, railroad ties, etc.) with a preservative solution of copper sulphate.Category:English eponyms
bathtub curve	# A curve used in reliability engineering, describing a particular form of the hazard function taking into account three categories of failure rate.
Barakzai	# A member of a Pashtun tribe.
begem	# To adorn (as if) with gems.
biggity	# en conceited|Conceited, uppity.
burlin'	# en drunk, intoxicated
bigyny	# The state of having two wife|wives simultaneously.
Buffaholic	# en A fan of the television series ''''.
barehanded	# With no covering on the hands.# en Without using a tool or weapon.
bridge bunny	# en An attractive female character who serves on the bridge of a spaceship on a science fiction television show, as eye candy
beget	 en# To father; to sire; to produce (a child).# To cause; to produce.# en To happen to; befall.# To bring forth.
backhoe	# To excavate using such equipment.
burd	# en maiden, young woman
burb	# en A suburb.
burl	# To remove the knots in cloth.
buro	# an office|year=|first=|last=|author=|authorlink=|title=More than 9000 Basotho Gold Miners Retrenched|site=ANC Dailey News Briefing|url=http://www.e-tools.co.za/newsbrief/1998/news0513|archiveorg=2012-09-14|accessdate=|passage=… an employment '''buro''' said on Tuesday. The retrenchments took place between November last year and March 1998, the Employment '''Buro''' of Africa's regional manager, Chris Hechter said.}}
burh	# A fortified dwelling place belonging to a king or noble; a prehistoric fort.
burk	# en To vomit.#: ''It was nasty, y’all. She just burked all over my sedan.''
burp	# en To emit a burp.# en To cause someone (such as a baby) to burp.
bossyboots	# en A bossy person.
bisintercalator	# en Any compound that binds to DNA via two intercalating groups.
Bolivianize	# en To make Bolivian.
birdman	# a man who works with birds# en an aviator
bromonium	# en The univalent H<sub>2</sub>Br<sup>+</sup> cation, derived from bromane.
booru	# en A form of imageboard where images are categorized with tags.
benefitable	# Able to bring benefit, able to be beneficial.
build-to-order	# en of or relating to a public housing system in flats are built according to demand.
black-throat	# en The black-throated diver.Category:en:Loons
baserunner	# en A player who is on base and is thus trying to advance to the next base.
brown sugar	# Sugar which has been only partially refined and still contains molasses.# Refined sugar to which molasses has been added.# en The drug heroin.
barperson	# someone who works in a bar, a bartender
bronchic	# en bronchial
blowth	# en bloom|Bloom or blossom; blossoms collectively; the state of blossoming.#: ''In the '''blowth''' and bud.'' &mdash; Sir Walter Raleigh.Category:English 1-syllable words
bread beetle	# drugstore beetleCategory:en:Beetles
Bewick's swan	# A small swan, ''Cygnus columbianus'', of the family Anatidae.
boozefest	# en An event where a great deal of alcohol is consumed.|passage=David Morse, the only American in the otherwise all-Irish cast of “The Seafarer,” Conor McPherson’s dark and glinting '''boozefest''' of a play now on Broadway after an acclaimed run in London, had a choice of roles.}}
bookplate	# en To affix a bookplate to (a book).
bipunctate	# Having two punctures or spots.
bromoacetylated	# That has been reacted with bromoacetic acid (or one of its derivatives)|passage=Briefly, bromoacetic acid activated by diisopropylcarbodiimide is used to form a '''bromoacetylated''' intermediate on a terminal secondary amine group.}}
boogie on down	# en To go (to a place or event).
brayingly	# With a braying sound.
bellwether	# The leading sheep of a flock, having a bell hung round its neck.# Anything that indicates future trends.# A stock or bond that is widely believed to be an indicator of the overall market|market's condition.
blow one's load	# en Of a man: to ejaculate; to cum.# en To expend one's resources or one's opportunity, especially prematurely; to blow one's chance. #: ''He blew his load in the first round and went home early.''
bathing trunks	# A pair of shorts or briefs worn for swimming or bathing.#: ''His '''bathing trunks''' were ruined and he didn't have another pair.''
bedjacket	# A short jacket worn when sitting up in bed, usually by women.
biorheological	# Relating to biorheology
bombycic acid	# en A constituent of the fluid used by silkworms to dissolve the gum that binds the silk threads of a cocoon
big lick	# en A Texas hold 'em starting hand involving both a 6 and a 9 of any suit.#: ''Nick bluffed him out of that pot with '''big lick'''.''
bracteal	# Having the nature or appearance of a bract.# en Relating to bracts.
bureaucratize	# To bring something under the control of a bureaucracy; to make bureaucratic.
big-timer	# A major player in the field in question: someone who is in the big time|passage=The small-timers, as he put it, kept their currency in their homes, in safes, in false ceilings, under beds. When necessary, our tax people know where to look. The '''big-timers''', however, use Swiss banks.}}
bootstrappable	# Capable of being bootstrapped.
busying	# busyness; making oneself busy with something
backstrap	# A pull strap extending the backstay of a boot or shoe.# The backbone of a book.# A loin of meat consisting of the muscle on each side of the spine.# An anchoring strap, passed around the waist or hips, for a small loom.
bodgie	# en A member of a 1950s rock subculture; a male member of the subculture.
biotechnological	# Of or pertaining to biotechnology.
brass neck	# en gall|Gall, shamelessness, cheek.# en A person with gall.
betall	# en To pay; count out money.
baritosis	# A benign pneumoconiosis caused by long-term exposure to barium dust.Category:English words suffixed with -osis
barnesite	# en A monoclinic-prismatic mineral containing hydrogen, oxygen, sodium, and vanadium.
betalk	# en To talk about; discuss; tell; count; give an account (of).# en To talk repeatedly.
bronchoalveolitis	# en inflammation of the bronchioles of the lungs; leads to bronchopneumonia
biclustering	# en The simultaneous clustering of the rows and columns of a matrix
buyer's remorse	# A feeling of anxiety or regret after making, or after promise|promising to make, a purchase, especially a purchase encouraged by a high-pressure sales pitch.
birotula	# A microsclere that has a straight shaft and umbrella-shaped ends
bastard horn snake	# en The common kingsnake.Category:en:Colubrid snakes
bicyclogermacrene	# en The sesquiterpenoid bicyclic cycloolefin ''(4E,8E)-4,8,11,11-tetramethylbicyclo8.1.0]undeca-4,8-diene''
Beaumont Egg	# ''Corruption of '''''beaumontague'''''.''
billion	# en a thousand million: 1 followed by nine zeros, 10<sup>9</sup>; a milliard|date=2013-05-25|volume=407|issue=8837|page=74|magazine=|url=http://www.economist.com/news/science-and-technology/21578357-plan-assess-peoples-personal-characteristics-their-twitter-streams-no|passage=In America alone, people spent $170 '''billion''' on “direct marketing”—junk mail of both the physical and electronic varieties—last year. Yet of those who received unsolicited adverts through the post, only 3% bought anything as a result.}}lb|en|dated|British & Australian|w:Long and short scales|long scale}}lb|en|colloquial|in the plural|hyperbole}}ux|en|There were '''billions''' of people at the concert.}}
blushing	# Showing blushes; rosy red.#: ''the '''blushing''' bride''
blank out	# en To become blank.#: ''He removed the paper from the heat, and the paper '''blanked out'''.''#: ''The screen '''blanked out''' during the power cut.''## To temporarily lose memory##: ''He '''blanked out''' five minutes into the meeting.''##: ''I'm '''blanking out''' on your name, I'm afraid.''# en To cause (something) to become blank.## To erase (something), leaving a blank in its place.##: ''The teacher '''blanked out''' some words from the text, which the students had to fill in''##: ''They had to '''blank out''' five obscenities before airing the song.''## To erase from one's memory.##: ''He '''blanked out''' the abuse he had suffered as a child.''# en to set even, to neutralise#: ''Beckham's second-half goal '''blanked out''' Filippi's first-half header to put the score at 1-1.''Category:English phrasal verbsCategory:English phrasal verbs with particle (out)
bioabsorbable	# That can be absorbed through bioabsorption.
batwoman	# en A female batman (servant)
bedcurtain	# One of the curtains around the sides of an old-fashioned bed.Category:English 3-syllable words
butter tooth	# Either of the two middle incisors of the upper jaw.
bromouracil	# A brominated derivative of uracil.
befriend	# en To become a friend of, to make friends with.# en To act as a friend to, to assist.# en To favor.
billet reading	# A magic trick or form of clairvoyance in which the performer reads a message sealed inside an envelope.
bogusly	# In a bogus way; phonily.
broncholith	# en calcified or ossified material within the lumen of the bronchus
bondmaid	# A female bondservant.
bronchoscopic	# Of or pertaining to bronchoscopy.
bupicomide	# A chemical compound used as a vasodilator.
byhanger	# en An onhanger; a parasite.# en An appendage.
blocktime	# en A unit of air time sold by a broadcaster sold for use by another entity, often an advertiser or politician.
buxaceous	# en Of or relating to the family Buxaceae of the box trees and close relatives.
bobar	# en To defecate.
Blu-ray Disc	# An optical disc storage medium used for data and video, introduced in 2006, having the same physical dimensions as a CD or DVD but greater storage capacity.
brashy	# brash, stormy|passage=Several skuas seen--three seals up in our Bay--several off Pram Point in the shelter of Horse Shoe Bay. A great many fish on sea ice--mostly small, but a second species 5 or 6 inches long: imagine they are chased by seals and caught in '''brashy''' ice where they are unable to escape.}}
bobac	# en The bobak marmot (''Marmota bobak'').
ballooning	# The act of something that swells or expands.# The sport or hobby of flying in a balloon.|volume=188|issue=26|page=36|magazine=|title=http://www.guardian.co.uk/books/2013/may/18/falling-upwards-richard-holmes-review Fantasy of navigation]|passage=Like most human activities, '''ballooning''' has sponsored heroes and hucksters and a good deal in between. For every dedicated scientist patiently recording atmospheric pressure and wind speed while shivering at high altitudes, there is a carnival barker with a bevy of pretty girls willing to dangle from a basket or parachute down to earth.}}ux|en|When he retired, he took up '''ballooning'''.}}
beleave	# en To leave behind, abandon.# en To be left; to remain.
bardcraft	# The poetic arts of a bard.
billionaire	# Somebody whose wealth is greater than one billion (10<sup>9</sup>) dollars, or other currency.|title=http://www.economist.com/news/finance-and-economics/21579879-buy-out-firm-really-does-focus-operational-improvements-engineers Engineers of a different kind]|passage=Private-equity nabobs bristle at being dubbed mere financiers.Much of their pleading is public-relations bluster. Clever financial ploys are what have made '''billionaires''' of the industry’s veterans. “Operational improvement” in a portfolio company has often meant little more than promising colossal bonuses to sitting chief executives if they meet ambitious growth targets. That model is still prevalent today.}}
bilingualism	# The condition of being bilingual; the ability to speak two languages.
bark beetle	# Any of various beetles, of the subfamily Scolytinae, many of which reproduce in the inner bark of trees
blazoner	# One who gives publicity, proclaims, or blazons.## One who blazons coat of arms|coats of arms; a herald.##: ## A slanderer.
biotoxicologist	# One who studies biotoxicology.
bust a gut	# en To work or try very hard.#: ''I had to really '''bust a gut''' to get it done by the deadline''# en To laugh very hard.#: ''Something about the way he said that made me just '''bust a gut''': I practically died laughing!''
banished	# Having been subject to banishment; kicked out and forbidden from returning; forbidden and prohibited.
banishee	# One who is banished; an exile.
bleuatre	# bluish
banisher	# One who banishes.
brownish	# Of a colour which resembles brown; somewhat brown.
bipectinate	# en Having two margins toothed like a comb.
boccia	# A sport, similar to bocce, designed to be played by people with impaired motor skills.
bois durci	# A hard, polishable composition of fine sawdust and blood, formerly used for making household items.
black whale	# Any whale of three species:## a sperm whale (''Physeter macrocephalus'' (family Physeteridae))## a right whale or  (family Balaenidae)###  ()###  ()
blithesome	# happy or spriteful, carefreeCategory:en:Happiness
B.T.A.	# en 
brothiness	# The quality of being brothy.|passage=It is served quite loose and soupy: the creamy '''brothiness''' is lovely.}}
bleeding heck	# en minced oath for bleeding hell.
BFFL	# en best friend|Best friend(s) for life.
black amber	# The mineral jet.
break free	# To liberate oneself; to free oneself.|lang=en|date=April 9, 2012|author=Mandeep Sanghera|title=Tottenham 1 - 2 Norwich|work=BBC Sport|url=http://www.bbc.co.uk/sport/0/football/17581358|page=|passage=Tottenham left-back Benoit Assou-Ekotto '''broke free''' after a clever one-two with Emmanuel Adebayor, only to see his shot brilliantly saved by the Norwich keeper.}}rfquote|en}}
boron trichloride	# en A binary compound of boron and chlorine, BCl<sub>3</sub>; it is used in metal refining.
basitibia	# A small plate or scalelike projection at the base of the hind tibia of bees etc|passage=All new species can be differentiated from the other species of the genus by the number of pseudo-articles in '''basitibia''' IV, the presence/absence of median eyes, and the shape of the female gonopod.}}
bandwagon	# A large wagon used to carry a band of musicians in a parade.# en A current movement that attracts wide support.
bascule	# a counterbalanced structure having one end that rises as the other lowers# en The portion of a breech-loading firearm, which pivots open in order to allow access to the chamber.
butylated	# en Modified to contain one or more butyl groups
broette	# en A female comrade or friend.
bonbon	# A sweet, especially a small chocolate-covered candy.# en A small, spherical savory snack or canapé.#: ''The terrine was served with black pudding '''bonbons'''.''# en A Christmas cracker.Category:English reduplicated coordinated pairsCategory:en:Sweets
bixin	# en An apocarotenoid that is the active ingredient of annatto.
beakfish	# Any of certain fishes of the family .#:  is the striped '''beakfish''';  is the Pacific '''beakfish'''.
big game	Image:Bear hunting Kodiak FWS.jpg|thumb|right|200px|Big game hunter with a bear head.]]# Any large animal(s) hunted for sport.
battish	# en Of, pertaining to, or resembling a bat.#: '''''battish''' wings''
bedecking	# An ornament.
backtick	# en The symbol `.
bound form	# en a unit of language that can only be used as part of a word, not as a word on its own (such as the English suffix ).
Bellona	# A woman of great spirit and vigour.Category:English eponymsCategory:en:AsteroidsCategory:en:Individuals
Boy Scout	# A male member of the w:Scouting|Scout Movement.# en A person, especially a politician, who is idealistic and naive
brachyskelic	# Having unusually short legs
bottle opener	# A device used to remove the cap or cork from a bottle
bedless	# Without a bed or beds.
backness	# en Quality of being a back vowel.#: Andrew Spencer (1996), ''Phonology: theory and description'', p. 25 :#:: ''The most important aspects of vowel quality are tongue height, frontness/'''backness''' and lip rounding.
breweress	# en A female brewer.
business case	# en A reason for doing something; an explanation of the benefit of some course of action to a business.
balky	# refuse|Refusing to proceed or cooperate.#: ''a '''balky''' horse''
Ben	# en A US$100 bill, which bears a portrait of w:U.S. one hundred-dollar bill|Benjamin Franklin. Often used in the plural form to indicate large sums of money.
bioeroder	# Any organism that carries out bioerosion.
Bee	# en someone connected with w:Barnet Football Club|Barnet Football Club, as a fan, player, coach etc.
biomantle	# The upper part of a soil, subject to bioturbation.
backchat	# To respond in a disputative, often sarcastic manner.#: ''Peter was sent to detention for '''backchatting''' the teacher.''
bouffée délirante	# A syndrome in West Africa and Haiti, involving a sudden outburst of aggression with confusion and sometimes hallucinations.
by the way	# en irrelevantly|Irrelevantly, off-topic.Category:English conjunctive adverbsCategory:English hedgesCategory:English speech-act adverbs
bluefin tuna	# A member of a species of tuna, ''Thunnus'' genus, having blue fins, including## , , found in both the western and eastern Atlantic Ocean, and also<br />in the Mediterranean Sea.## , , found in tropical Indo-West Pacific waters.## , , found widely in the northern Pacific Ocean and locally in the south.## , .|volume=189|issue=7|page=32|magazine=|url=http://www.theguardian.com/world/2013/jul/23/mexico-insect-cuisine-sustainable-food|title=Mexico gets a taste for eating insects |passage=The San Juan market is Mexico City's most famous deli of exotic meats, where an adventurous shopper can hunt down hard-to-find critters  But the priciest items in the market aren't the armadillo steaks or even the '''bluefin tuna'''.}}
blue acara	# , a blue-grey freshwater cichlid found in Central and South America.Category:en:Cichlids
bailival	# en Relating to, or ruled by, a bailiff
basicranial	# Of or pertaining to the basicranium
bacterial flora	# All the bacterium|bacteria inside, or on the surface of an organism
battle axe	File:Battleaxe lot.svg|thumb|A battleaxe block or battleaxe lot.# An ancient military weapon, an axe designed for combat.# en This weapon borne on arms as a mark of prowess.# en A domineering, antagonistic woman.# en An electric guitar.# en An allotment of land at the rear of another property, with a long, narrow strip of land connecting it to the roadway.
butofilolol	# A beta blocker drug for the treatment of hypertension.
barrelage	# Quantity of beer (or other drink) measured in barrels.
blood pressure	# The pressure exerted by the blood against the walls of the artery|arteries and veins; it varies during the heartbeat cycle, and according to a person's age, health and physical condition.#: ''the great majority of people who have serious conditions from high '''blood pressure''' suffer debilitating illness''# The measurement of a person's blood pressure, expressed as systolic blood pressure and diastolic blood pressure readings.#: ''The nurse spent all day taking '''blood pressures''' at the hospital.''
bassline	# en The low-pitched instrumental part of a piece of popular music.
bene cove	# en A friend; a good fellow; a good companion.
blackthorn winter	# en A period of cold weather in spring or early summer (March, April or May).#: 
bumiputra	# A citizen of Malaysia having indigenous Malay ancestry
beef up	# en to strengthen or reinforce; to add substance to#: ''We need to '''beef up''' security around the airport.''
Bordelese	# Of, from, or pertaining to Bordeaux.
brakesman	# Someone who operates the winch in a mine.# A brakeman; a railroad employee responsible for a train's brakes, couplings etc.|passage=Leisurely we moved forward--reached the head of the train--then Andrews, Brown our engineer, and Knight, who also could run an engine, leaped on the locomotive; Alfred Wilson took the top of the cars as '''brakesman''', and the remainder of us clambered into the foremost baggage car, which, with two others, had been previously uncoupled from the hinder part of the train.}}
butonate	# An anthelminthic drug.Category:en:Drugs
B.F.A.	# bachelor|'''B'''achelor of fine arts|'''F'''ine '''A'''rts.
bonebed	# en Any stratum containing bones
beauty and the beast	# Two individuals, usually but not necessarily romantically involved, where one is perceived to be considerably more attractive than the other.# en An aesthetic in heavy metal, etc. that contrasts "angelic" female vocals with male growls or aggressive singing.Category:English coordinated pairs
brontoscopic	# Relating to brontoscopy.#: ''the Etruscan '''brontoscopic''' calendar''
bartisan	# en A parapet with battlements projecting from the top of a tower in a castle or church.
basisphenoid	# The basisphenoid bone
biplane	# en Having, or consisting of, two superposed planes, aerocurves, etc.#: ''a '''biplane''' rudder''
bioinsecticide	# Any naturally-occurring (rather than synthetic) insecticide
Black Book	# Any of several books or documents of a political character, published at different times and for different purposes; so called either from the colour of the binding, or from the character of the contents.## A book compiled in the twelfth century, containing a description of the court of exchequer of England, an official statement of the revenues of the crown, etc.## A book containing details of the enormity|enormities practiced in the English monasteries and religious houses, compiled by order of their visitors under Henry VIII, to hasten their dissolution.## A book of admiralty law, of the highest authority, compiled in the reign of Edward III.## A book kept for the purpose of registering the names of persons liable to censure or punishment, as in the English universities, or the English armies.## Any book dealing with necromancy.
broken man	# en An outlaw, especially one inhabiting the Highlands and border country.# 
Belizeanness	# The state or quality of being Belizean.|editor=Michael D. Phillips|year=1996|passage=The second underlying purpose of the festival was that it was a way to foster nationalism and create a sense of "'''Belizeanness'''" independent of any of the cultural imports which were the mainstay of festival performances.}}
bronzemaking	# The process of making bronze
boatage	# The total capacity of boats, as of lifeboats on a ship.# conveyance|Conveyance by boat.# A charge for transporting goods by boat.
bitchhood	# the quality, state, or condition of a bitch
Barker's mill	# A kind of water wheel system employing a rotor and nozzles.Category:English eponyms
bilharzial	# Relating to bilharzia.
birthtime	# en The exact time when someone was born; the time of birth.
Brill-Zinsser disease	# A delayed relapse of epidemic typhus, occurring some time after the original infection.
benthiocarb	# A thiocarbamate cholinesterase inhibitor used as a herbicide.
backfoot	# en To put on the defensive; to put off balance.
botlhanka	# en A hereditary form of slavery.
binky	# en To perform a high hop, as when happy.
Brunton compass	# A type of precision compass commonly used by geoscientists.Category:English eponyms
burlesqueness	# The state or quality of being burlesque.
bullshit	# en An expression of disbelief or doubt at what one has just heard.
biomolecular	# en Relating to biomolecules (especially macromolecules)
basket rush	# en A type of rush native to southern California, , which was traditionally used by the local Indians to make baskets.# Any of a number of rush-like plants (including sedges as well as rushes) used to make baskets elsewhere in the world.Category:en:Rushes
backable	# That can or should be backed, or supported in a contest.#: ''an eminently '''backable''' candidate''
benzoisochromanequinone	# en Any benzo derivative of an isochromanequinone, many of which are antibiotics
bookshop	# A shop that sells books.
biolung	# An artificial lung that uses tiny hollow fibers to mimic the structure of a human lung.|passage=After four to eight days of incubation, this '''biolung''' was grafted on to a rat.}}
Bernese	# A native or inhabitant of Bern.Category:en:Demonyms
bump ball	# en A ball that bounces off of the pitch immediately after being hit by the bat, and goes up in the air.
biodiagnosis	# biochemical diagnosis
Becker muscular dystrophy	# benign pseudohypertrophic muscular dystrophy: an X-linked recessive inherited dystrophinopathy characterized by slowly progressive muscle weakness of the legs and pelvisCategory:English eponyms
bound for	 <!--is it really an incomparable adverb?--># en Moving towards, going in the direction of.#: ''The plane is '''bound for''' England.''#: ''He is '''bound for''' failure.''
